Time (TU),X (LU),Y (LU),Z (LU),VX (LU/TU),VY (LU/TU),VZ (LU/TU)
0.9446745851517797,0.9897405762181538,0.01731348337236868,-0.02308866258422912,0.06166676828905346,-0.8353855782757533,-0.29558080348372195
0.9450873983477986,0.9897658094855709,0.016967875957495104,-0.023209686714476697,0.060581422997890357,-0.8390098585190119,-0.2907445559163058
0.9454976879348439,0.9897904419827561,0.016622905788145098,-0.023327976770527795,0.05949021560140739,-0.842577901720369,-0.28585987678616265
0.9459054869463142,0.9898144787919045,0.016278586271035192,-0.023443547109018553,0.058393307177695475,-0.846088656182303,-0.2809278105857658
0.9463108278743282,0.9898379249649195,0.01593493091842917,-0.023556412237652938,0.057290863459600466,-0.8495410939445385,-0.27594943546776013
0.9467137440560707,0.9898607856028225,0.015591952164433103,-0.02366658719527797,0.05618305091711632,-0.852934223655628,-0.2709258452138708
0.947114269293905,0.98988306582863,0.015249661665742167,-0.023774087420173094,0.05507003752264514,-0.8562670879699688,-0.26585815212913444
0.9475124374668211,0.9899047707621962,0.014908070618376004,-0.023878928626761692,0.05395199360558145,-0.8595387610090582,-0.26074749044420115
0.9479082829710074,0.9899259055413973,0.014567189367348752,-0.023981126905573028,0.05282909040770585,-0.8627483526720371,-0.2555950092479997
0.9483018406599789,0.9899464753144125,0.014227027441794556,-0.02408069868375454,0.05170150000153823,-0.8658950086079177,-0.25040187156893695
0.9486931459087666,0.9899664852386125,0.013887593484279379,-0.02417766071722805,0.05056939485774266,-0.8689779111095162,-0.24516925183835184
0.949082234785704,0.9899859404842636,0.013548895085981765,-0.024272030106050668,0.04943294708636982,-0.871996280700148,-0.23989833181282327
0.949469143092969,0.9900048461823622,0.013210939609558705,-0.024363824038349587,0.04829233100176833,-0.8749493689354133,-0.23459031193679156
0.9498539079037462,0.9900232074967014,0.012873732838151521,-0.024453060136734685,0.04714771838365351,-0.8778364704259183,-0.22924638880257595
0.9502365665216173,0.9900410295667635,0.012537279868722658,-0.024539756177946855,0.045999281264780395,-0.8806569147462443,-0.22386776750820497
0.9506171564039712,0.9900583175009512,0.012201585172725812,-0.02462393005605332,0.04484719195712103,-0.8834100659820571,-0.21845566129301935
0.9509957162336314,0.9900750764204928,0.011866651641324555,-0.024705599992467683,0.04369161957260477,-0.8860953303328011,-0.213011274652034
0.9513722840916804,0.9900913113725868,0.01153248219066298,-0.02478478410896617,0.04253273534424357,-0.8887121427765573,-0.20753582782846705
0.9517468995933055,0.9901070274201769,0.011199077864778605,-0.024861500861066962,0.04137070588273063,-0.8912599819071677,-0.2020305245144703
0.9521196017615463,0.9901222295454656,0.010866439715870292,-0.024935768563220037,0.04020569950064122,-0.8937383547706592,-0.19649658120976238
0.9524904309321578,0.990136922725632,0.010534567104965928,-0.025007605753963182,0.039037880105370994,-0.8961468094302191,-0.19093519780024137
0.9528594276282519,0.9901511118804603,0.010203458698400539,-0.02507703093583095,0.03786741047905161,-0.8984849267236256,-0.18534757258582346
0.9532266323342704,0.9901648018608525,0.009873112671466306,-0.025144062514343354,0.036694452839261184,-0.900752318487788,-0.17973490453883556
0.9535920864346149,0.990177997480316,0.009543525864164123,-0.025208718947424612,0.03551916567690466,-0.9029486328557391,-0.17409837774305698
0.953955830954109,0.9901907034643551,0.00921469491499743,-0.025271018492819982,0.034341707619798545,-0.9050735459020722,-0.1684391794567696
0.9543179081518341,0.9902029245033996,0.0088866148234166,-0.02533097946269831,0.03316223213837322,-0.907126770443518,-0.16275847428434642
0.9546783599920358,0.9902146651946023,0.008559280332546963,-0.025388619933541922,0.03198089233198965,-0.9091080462481551,-0.1570574267526766
0.9550372289200028,0.9902259300654801,0.008232685231422038,-0.025443957857178647,0.030797838285813024,-0.9110171438476438,-0.1513371882303863
0.9553945572315162,0.9902367235504363,0.007906822932733672,-0.025497010940641406,0.029613219021239916,-0.9128538603856806,-0.14559890599090533
0.9557503880807177,0.9902470500183763,0.007581685559759907,-0.025547796777049943,0.028427179048371217,-0.9146180240847337,-0.13984370618156677
0.956104764611243,0.9902569137420665,0.007257264743067014,-0.025596332690287254,0.027239861124536614,-0.9163094887845024,-0.1340727068311614
0.9564577296199048,0.9902663188875936,0.00693355193823043,-0.025642635678257787,0.026051407315338213,-0.9179281318000322,-0.12828702274331377
0.9568093265650878,0.9902752695397057,0.006610537510704723,-0.02568672253288622,0.024861955534108093,-0.919473857928829,-0.12248774838907955
0.9571595989540304,0.9902837696816319,0.006288211304818726,-0.02572860973621254,0.023671641515187226,-0.9209465956264655,-0.11667596721636696
0.9575085904369933,0.9902918231952175,0.005966562567085866,-0.02576831345648848,0.022480598435515323,-0.9223462966295709,-0.11085274955705053
0.957856344445104,0.9902994338507242,0.005645580290737065,-0.025805849493421417,0.021288958102526786,-0.9236729337597038,-0.10501915820811111
